Districts,Town,Latitude,Longitude
Bin Qasim Town,Abdullah Goth,24.86654,67.2836719
Bin Qasim Town,Cattle Colony,24.8793108,67.1987233
Bin Qasim Town,Green Park City,24.8576588,67.2224746
Bin Qasim Town,Gulshan-e-Hadeed,24.869998799999998,67.36005178758305
Bin Qasim Town,Ibrahim Hyderi,24.79160805,67.14091644916715
Bin Qasim Town,Landhi Colony,24.8520926,67.1864717
Bin Qasim Town,Mujahid Colony,24.9005091,67.103604
Bin Qasim Town,Quaidabad,24.8577656,67.214141
Bin Qasim Town,Razzaqabad,24.8669113,67.2945157
Bin Qasim Town,Rehri Goth,24.8158871,67.2281223
Bin Qasim Town,Shah Latif Town,24.8491599,67.26800758321846
Bin Qasim Town,Sherpao Colony,24.8356622,67.2094289
Bin Qasim Town,Steel Town,24.86938695,67.33655936165295
Gulshan Town,Sindh Baloch Cooperative Housing Society,24.9146011,67.1412421
Gulshan Town,Essa Nagri,24.90253,67.0663842
Gulshan Town,Gulshan-e-Iqbal I,24.92296745,67.0919663039582
Gulshan Town,Gulshan-e-Iqbal II,24.9066464,67.0819947
Gulshan Town,Gulzar-e-Hijri,24.9488275,67.0886609
Gulshan Town,Gulistan-e-Johar,24.92183405,67.13078987171744
Gulshan Town,Abbas Town,25.0021869,67.0691556
Gulshan Town,Jamali Colony,24.9141008,67.0799482
Gulshan Town,Metroville Colony,24.9232505,66.9977742
Gulshan Town,Pehlwan Goth,24.9232712,67.1481746
Gulshan Town,Safoora Goth,24.9392946,67.1561264
Gulshan Town,Shanti Nagar,24.9036235,67.0987961
Gulshan Town,Sachal Goth,24.9506569,67.1288595
Gulshan Town,KESC Society,24.9431913,67.18454525405016
Jamshed Town,Abyssinia Lines,24.8617961,67.0501817
Jamshed Town,Akhtar Colony,24.9043313,67.009942
Jamshed Town,Azam Basti,24.8481043,67.0746834
Jamshed Town,Baloch Colony,24.9520574,67.0195505
Jamshed Town,Baltistani Society,24.8630095,67.0484872
Jamshed Town,Catholic Colony No. 1,24.8763903,67.0365696
Jamshed Town,Central Jacob Lines,24.868189,67.0357939
Jamshed Town,Chanesar Goth,24.8509815,67.0585428
Jamshed Town,Defence View,25.1446897,67.1847767315734
Jamshed Town,Garden East,24.8819943,67.0309179
Jamshed Town,Garden West,24.8802643,67.0203142
Jamshed Town,Gulistan-e-Zafar,24.8545378,67.0591163
Jamshed Town,Jamshed Quarters,24.8835176,67.0422356
Jamshed Town,Mahmudabad,24.839311100000003,67.03193911928142
Jamshed Town,Manzoor Colony,24.8589765,67.0891886
Jamshed Town,Nursery,24.9357518,67.0310837
Jamshed Town,Pakistan Quarters,24.98298245,66.99384267778552
Jamshed Town,Patel Para,24.88604,67.0364733
Jamshed Town,Sohrab Katrak Parsi Colony,24.871644,67.03037292731395
Jamshed Town,Soldier Bazaar,24.8755287,67.0313117
Kemari Town,Abdul Rehman Goth,24.85131405,66.82532174365248
Kemari Town,Arbian,24.8569039,66.7932712
Kemari Town,Darvesh Goth,24.8823854,67.1451973
Kemari Town,Goth Lashkari,24.8804148,66.8345916
Kemari Town,Goth Mohammad Ali,24.8543465,67.1369101
Kemari Town,Goth Shaikhan,24.8249286,66.9906446
